Time [s],Time Delta [ms],File Source,MOSI,MISO,Command Name,PE,Input Data Details,General Status,Sensor Data Flag,SID / add. Status,Output Data Details,Global Status Flag
0.52076595,0.48035000000001826,SMA760,0x8000000C,0x03700107,RD_SENSOR_DATA_CH1,,"{""SEN"": 1, ""CRC"": 3}","{""TFF"": 0, ""TST"": 0, ""EOP"": 0, ""0(not_used)"": 0, ""TF"": 0, ""PF"": 0}",1,23,"{""Sensor Data"": 4, ""CRC"": 7, ""D"": 16}",0
0.52077245,0.006500000000020378,SMA760,0xC0000008,0x03BFFFC3,RD_SENSOR_DATA_CH2,,"{""SEN"": 1, ""CRC"": 2}","{""TFF"": 0, ""TST"": 0, ""EOP"": 0, ""0(not_used)"": 0, ""TF"": 0, ""PF"": 0}",1,27,"{""Sensor Data"": 16383, ""CRC"": 3, ""D"": 65532}",0
0.520779,0.006549999999938549,SMA760,0x3200001C,0x00000006,RD_MONITOR_I_DATA,,"{""SEN"": 0, ""0"": 0, ""CRC"": 7}","{""TFF"": 0, ""TST"": 0, ""EOP"": 0, ""0(not_used)"": 0, ""TF"": 0, ""PF"": 0}",0,{},"{""DCM(MON15)"": 0, ""ME(MON14)"": 0, ""not_used(MON13)"": 0, ""CD(MON12)"": 0, ""SOC2(MON11)"": 0, ""SOC1(MON10)"": 0, ""EXT_M(MON9)"": 0, ""OTP_ECC(MON8)"": 0, ""Lock(MON7)"": 0, ""OTP(MON6)"": 0, ""not_used(MON5)"": 0, ""No_CLK(MON4)"": 0, ""not_used(MON3)"": 0, ""not_used(MON2)"": 0, ""OC2(MON1)"": 0, ""OC1(MON0)"": 0, ""CRC"": 6}",0
0.52078555,0.006550000000049572,SMA760,0x33000014,0x00000006,RD_MONITOR_II_DATA,,"{""SEN"": 0, ""0"": 0, ""CRC"": 5}","{""TFF"": 0, ""TST"": 0, ""EOP"": 0, ""0(not_used)"": 0, ""TF"": 0, ""PF"": 0}",0,{},"{""not_used(MON15)"": 0, ""not_used(MON14)"": 0, ""not_used(MON13)"": 0, ""not_used(MON12)"": 0, ""not_used(MON11)"": 0, ""not_used(MON10)"": 0, ""FOC_Busy_CH2(MON9)"": 0, ""FOC_Busy_CH1(MON8)"": 0, ""not_used(MON7)"": 0, ""GND_MEMS(MON6)"": 0, ""not_used(MON5)"": 0, ""GND_EXT(MON4)"": 0, ""UVA(MON3)"": 0, ""UVSI(MON2)"": 0, ""UVS(MON1)"": 0, ""EOP(MON0)"": 0, ""CRC"": 6}",0
0.5212659,0.48034999999990724,SMA760,0x8000000C,0x037000C1,RD_SENSOR_DATA_CH1,,"{""SEN"": 1, ""CRC"": 3}","{""TFF"": 0, ""TST"": 0, ""EOP"": 0, ""0(not_used)"": 0, ""TF"": 0, ""PF"": 0}",1,23,"{""Sensor Data"": 3, ""CRC"": 1, ""D"": 12}",0
0.52127245,0.006550000000049572,SMA760,0xC0000008,0x03B00046,RD_SENSOR_DATA_CH2,,"{""SEN"": 1, ""CRC"": 2}","{""TFF"": 0, ""TST"": 0, ""EOP"": 0, ""0(not_used)"": 0, ""TF"": 0, ""PF"": 0}",1,27,"{""Sensor Data"": 1, ""CRC"": 6, ""D"": 4}",0
0.52127895,0.006500000000020378,SMA760,0x3200001C,0x00000006,RD_MONITOR_I_DATA,,"{""SEN"": 0, ""0"": 0, ""CRC"": 7}","{""TFF"": 0, ""TST"": 0, ""EOP"": 0, ""0(not_used)"": 0, ""TF"": 0, ""PF"": 0}",0,{},"{""DCM(MON15)"": 0, ""ME(MON14)"": 0, ""not_used(MON13)"": 0, ""CD(MON12)"": 0, ""SOC2(MON11)"": 0, ""SOC1(MON10)"": 0, ""EXT_M(MON9)"": 0, ""OTP_ECC(MON8)"": 0, ""Lock(MON7)"": 0, ""OTP(MON6)"": 0, ""not_used(MON5)"": 0, ""No_CLK(MON4)"": 0, ""not_used(MON3)"": 0, ""not_used(MON2)"": 0, ""OC2(MON1)"": 0, ""OC1(MON0)"": 0, ""CRC"": 6}",0
0.5212855,0.006549999999938549,SMA760,0x33000014,0x00000006,RD_MONITOR_II_DATA,,"{""SEN"": 0, ""0"": 0, ""CRC"": 5}","{""TFF"": 0, ""TST"": 0, ""EOP"": 0, ""0(not_used)"": 0, ""TF"": 0, ""PF"": 0}",0,{},"{""not_used(MON15)"": 0, ""not_used(MON14)"": 0, ""not_used(MON13)"": 0, ""not_used(MON12)"": 0, ""not_used(MON11)"": 0, ""not_used(MON10)"": 0, ""FOC_Busy_CH2(MON9)"": 0, ""FOC_Busy_CH1(MON8)"": 0, ""not_used(MON7)"": 0, ""GND_MEMS(MON6)"": 0, ""not_used(MON5)"": 0, ""GND_EXT(MON4)"": 0, ""UVA(MON3)"": 0, ""UVSI(MON2)"": 0, ""UVS(MON1)"": 0, ""EOP(MON0)"": 0, ""CRC"": 6}",0
0.52176595,0.48045000000007665,SMA760,0x8000000C,0x037000C1,RD_SENSOR_DATA_CH1,,"{""SEN"": 1, ""CRC"": 3}","{""TFF"": 0, ""TST"": 0, ""EOP"": 0, ""0(not_used)"": 0, ""TF"": 0, ""PF"": 0}",1,23,"{""Sensor Data"": 3, ""CRC"": 1, ""D"": 12}",0
0.52177245,0.006500000000020378,SMA760,0xC0000008,0x03BFFF07,RD_SENSOR_DATA_CH2,,"{""SEN"": 1, ""CRC"": 2}","{""TFF"": 0, ""TST"": 0, ""EOP"": 0, ""0(not_used)"": 0, ""TF"": 0, ""PF"": 0}",1,27,"{""Sensor Data"": 16380, ""CRC"": 7, ""D"": 65520}",0
0.521779,0.006549999999938549,SMA760,0x3200001C,0x00000006,RD_MONITOR_I_DATA,,"{""SEN"": 0, ""0"": 0, ""CRC"": 7}","{""TFF"": 0, ""TST"": 0, ""EOP"": 0, ""0(not_used)"": 0, ""TF"": 0, ""PF"": 0}",0,{},"{""DCM(MON15)"": 0, ""ME(MON14)"": 0, ""not_used(MON13)"": 0, ""CD(MON12)"": 0, ""SOC2(MON11)"": 0, ""SOC1(MON10)"": 0, ""EXT_M(MON9)"": 0, ""OTP_ECC(MON8)"": 0, ""Lock(MON7)"": 0, ""OTP(MON6)"": 0, ""not_used(MON5)"": 0, ""No_CLK(MON4)"": 0, ""not_used(MON3)"": 0, ""not_used(MON2)"": 0, ""OC2(MON1)"": 0, ""OC1(MON0)"": 0, ""CRC"": 6}",0
